                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1664,                 1.3864,                 1.2171,                 0.6503,                0.54875,                0.61722,                0.45564,                   1.08,                  1.097,                 1.1259,                 0.0937,                 0.0007,                 0.0007
                      1,                 1.1803,                 1.4209,                 1.2533,                0.70206,                0.58349,                0.64223,                0.47964,                 1.0556,                 1.0656,                 1.1108,               0.086485,              0.0014851,              0.0014851
                      2,                  1.162,                 1.3032,                 1.2415,                0.72276,                0.60605,                0.66955,                0.50128,                 1.0569,                  1.024,                 1.1029,               0.079254,              0.0022545,              0.0022545
                      3,                 1.1268,                 1.1726,                 1.1832,                0.71722,                0.62058,                0.69119,                0.51239,                 1.0526,                 0.9931,                 1.1018,               0.072008,              0.0030079,              0.0030079
                      4,                 1.0698,                 1.1734,                 1.1757,                0.72671,                0.65245,                0.72397,                0.54052,                 1.0484,                0.97211,                 1.1047,               0.064746,              0.0037456,              0.0037456
                      5,                  1.121,                  1.171,                 1.1842,                0.73128,                 0.6631,                0.72755,                0.54039,                  1.062,                0.96423,                 1.1122,               0.057467,              0.0044673,              0.0044673
                      6,                 1.0642,                 1.0544,                 1.1443,                 0.7456,                0.63433,                0.72476,                0.52492,                  1.075,                0.98751,                 1.1218,               0.050173,              0.0051733,              0.0051733
                      7,                 1.0958,                 1.1309,                 1.1917,                0.78407,                0.64655,                 0.7343,                 0.5325,                 1.0882,                0.95233,                 1.1222,               0.042863,              0.0058634,              0.0058634
                      8,                 1.1228,                 1.1766,                 1.1674,                0.76164,                0.58487,                0.68787,                0.50064,                 1.1102,                  1.053,                 1.1378,               0.035538,              0.0065377,              0.0065377
                      9,                 1.1237,                 1.0746,                 1.1709,                0.65196,                0.59127,                0.66942,                 0.4831,                 1.1261,                 1.1165,                 1.1481,               0.028196,              0.0071961,              0.0071961
                     10,                  1.119,                 1.1215,                 1.1639,                0.71878,                0.48359,                0.58115,                0.39403,                  1.226,                 1.3793,                 1.2238,               0.020839,              0.0078387,              0.0078387
                     11,                 1.1088,                  1.183,                  1.171,                0.67191,                0.49975,                0.60218,                0.40345,                 1.2064,                  1.237,                 1.1971,               0.013465,              0.0084655,              0.0084655
                     12,                  1.138,                 1.1712,                 1.1815,                0.64964,                0.58408,                0.64561,                0.44632,                 1.1866,                  1.229,                  1.165,               0.008812,               0.008812,               0.008812
                     13,                 1.1432,                 1.1555,                 1.1917,                0.63337,                0.53615,                0.61046,                0.44157,                 1.1927,                 1.3706,                 1.2019,               0.008812,               0.008812,               0.008812
                     14,                 1.1172,                 1.1321,                 1.1655,                0.68422,                0.55617,                0.65158,                0.44614,                 1.2176,                 1.2929,                 1.2024,               0.008713,               0.008713,               0.008713
                     15,                 1.1112,                 1.1668,                 1.1884,                0.71621,                0.55507,                0.66511,                0.48075,                 1.1304,                 1.1511,                 1.1495,               0.008614,               0.008614,               0.008614
                     16,                 1.1092,                 1.0541,                 1.1551,                0.70053,                0.61216,                 0.6876,                0.49769,                 1.1041,                 1.1295,                 1.1524,               0.008515,               0.008515,               0.008515
                     17,                 1.1163,                 1.0674,                 1.1754,                0.76207,                0.57976,                0.68355,                0.49377,                 1.0984,                 1.1235,                 1.1412,               0.008416,               0.008416,               0.008416
                     18,                 1.0618,                 1.0318,                 1.1496,                0.76016,                0.60322,                0.70946,                0.52637,                 1.0751,                 1.1108,                 1.1307,               0.008317,               0.008317,               0.008317
                     19,                 1.0672,                 1.0467,                 1.1475,                 0.7573,                0.67556,                0.73849,                 0.5457,                 1.0803,                0.99291,                 1.1148,               0.008218,               0.008218,               0.008218
                     20,                 1.0825,                 1.0275,                 1.1466,                0.70321,                0.63022,                0.71756,                0.51988,                 1.0938,                 1.0618,                 1.1323,               0.008119,               0.008119,               0.008119
                     21,                 1.0904,                0.98866,                 1.1354,                0.68932,                0.61275,                0.67621,                0.48493,                 1.1367,                 1.1158,                 1.1511,                0.00802,                0.00802,                0.00802
                     22,                 1.0877,                 1.0502,                 1.1575,                0.77663,                0.61715,                0.72146,                0.53476,                 1.0957,                 1.0122,                   1.13,               0.007921,               0.007921,               0.007921
                     23,                 1.0675,                 1.0231,                 1.1535,                0.72308,                0.63938,                0.71763,                0.52695,                 1.0904,                 1.0584,                 1.1248,               0.007822,               0.007822,               0.007822
                     24,                 1.0472,                 1.0528,                 1.1542,                0.68552,                0.67979,                 0.7418,                0.54146,                 1.0886,                0.98407,                  1.128,               0.007723,               0.007723,               0.007723
                     25,                  1.058,                 1.0152,                 1.1383,                0.78663,                  0.618,                0.74906,                0.53699,                 1.1248,                 1.0876,                 1.1312,               0.007624,               0.007624,               0.007624
                     26,                 1.0567,                 1.0125,                 1.1565,                0.72034,                0.72316,                0.79139,                 0.5805,                 1.0383,                0.93019,                 1.0896,               0.007525,               0.007525,               0.007525
                     27,                  1.038,                0.99495,                 1.1316,                0.68827,                0.71098,                0.78678,                   0.57,                 1.0585,                0.97745,                 1.0948,               0.007426,               0.007426,               0.007426
                     28,                 1.0394,                0.95548,                 1.1072,                0.75087,                0.68571,                 0.7786,                0.55969,                  1.068,                  1.026,                 1.1002,               0.007327,               0.007327,               0.007327
                     29,                0.99827,                0.90155,                 1.1166,                0.73997,                0.71182,                0.78338,                0.57531,                 1.0723,                 1.0254,                 1.1083,               0.007228,               0.007228,               0.007228
                     30,                 1.0222,                0.97259,                 1.1224,                0.77189,                0.70759,                0.78843,                0.60022,                 1.0098,                0.92659,                 1.0729,               0.007129,               0.007129,               0.007129
                     31,                 1.0232,                0.96454,                 1.1088,                0.77496,                0.71709,                0.78042,                0.59545,                 1.0211,                 0.9254,                 1.0738,                0.00703,                0.00703,                0.00703
                     32,                  1.004,                0.90904,                 1.1004,                0.83569,                0.70432,                 0.8202,                0.61596,                0.95682,                0.84812,                 1.0457,               0.006931,               0.006931,               0.006931
                     33,                 0.9509,                 0.8921,                 1.1048,                 0.7894,                0.75718,                0.81334,                0.61895,                0.97494,                0.86235,                 1.0575,               0.006832,               0.006832,               0.006832
                     34,                0.95928,                0.86748,                 1.0959,                 0.8174,                0.74447,                0.80745,                0.60891,                0.99942,                0.84782,                   1.07,               0.006733,               0.006733,               0.006733
                     35,                0.95344,                0.84985,                 1.0984,                0.82839,                0.75242,                0.81956,                0.61411,                0.98013,                 0.8289,                 1.0614,               0.006634,               0.006634,               0.006634
                     36,                0.99319,                0.90157,                 1.1016,                0.85059,                0.73824,                0.82528,                0.62144,                0.96913,                0.81053,                 1.0571,               0.006535,               0.006535,               0.006535
                     37,                0.94961,                0.87378,                 1.1012,                 0.8139,                 0.7772,                0.84216,                0.64328,                0.93953,                0.78251,                 1.0407,               0.006436,               0.006436,               0.006436
                     38,                 1.0559,                 0.9282,                 1.1048,                0.87671,                0.75606,                0.85853,                0.65708,                0.91222,                0.75932,                 1.0235,               0.006337,               0.006337,               0.006337
                     39,                0.93615,                0.83857,                 1.0772,                0.86748,                0.76168,                0.86658,                0.67623,                0.87573,                0.70473,                 1.0072,               0.006238,               0.006238,               0.006238
                     40,                 0.9777,                 0.8965,                 1.1042,                0.83663,                0.78718,                0.86176,                0.67704,                0.87012,                0.70669,                 1.0016,               0.006139,               0.006139,               0.006139
                     41,                0.93478,                0.83788,                 1.0725,                0.85108,                0.78481,                0.86282,                0.68438,                0.85033,                0.70115,                0.98773,                0.00604,                0.00604,                0.00604
                     42,                0.93429,                0.83517,                  1.077,                0.89036,                0.77335,                0.87487,                0.68914,                0.83225,                 0.6905,                0.98008,               0.005941,               0.005941,               0.005941
                     43,                0.91887,                0.80928,                 1.0735,                0.88667,                0.77922,                0.87126,                0.68986,                0.84074,                0.69537,                0.98228,               0.005842,               0.005842,               0.005842
                     44,                  0.889,                0.79748,                 1.0599,                0.88914,                0.79972,                0.88205,                0.69668,                0.84716,                0.66253,                0.98015,               0.005743,               0.005743,               0.005743
                     45,                 0.9344,                0.82187,                 1.0445,                0.83777,                0.82376,                0.87255,                0.67945,                0.86705,                0.70955,                0.99127,               0.005644,               0.005644,               0.005644
                     46,                0.91744,                0.77734,                 1.0509,                0.89157,                 0.8046,                0.88185,                0.69653,                0.83139,                0.66178,                0.97752,               0.005545,               0.005545,               0.005545
                     47,                0.89334,                0.76179,                 1.0317,                0.89155,                0.80084,                0.87888,                 0.6926,                0.82058,                0.64183,                0.96954,               0.005446,               0.005446,               0.005446
                     48,                0.87253,                0.73293,                  1.036,                 0.8456,                0.83894,                0.88618,                0.69456,                0.80614,                0.63502,                0.96369,               0.005347,               0.005347,               0.005347
                     49,                0.92797,                0.80912,                 1.0685,                0.86638,                0.82279,                0.88819,                0.70344,                0.79812,                0.64632,                0.96346,               0.005248,               0.005248,               0.005248
                     50,                0.90133,                0.77921,                 1.0473,                0.87734,                0.81696,                0.89065,                0.71218,                0.79897,                0.62427,                0.95677,               0.005149,               0.005149,               0.005149
                     51,                0.87967,                0.76676,                 1.0502,                0.89518,                0.81253,                 0.8971,                 0.7181,                0.77627,                0.60355,                0.94397,                0.00505,                0.00505,                0.00505
                     52,                0.88962,                0.74622,                 1.0459,                0.89465,                0.81694,                0.89275,                0.71417,                0.78544,                0.60284,                0.94614,               0.004951,               0.004951,               0.004951
                     53,                0.85651,                0.73032,                 1.0285,                0.89589,                0.81282,                0.89146,                0.71347,                0.78664,                0.61321,                0.94837,               0.004852,               0.004852,               0.004852
                     54,                0.91049,                0.76745,                 1.0581,                0.89691,                0.81598,                0.89041,                0.71327,                0.79956,                0.60516,                 0.9524,               0.004753,               0.004753,               0.004753
                     55,                0.89475,                0.76279,                 1.0403,                 0.8724,                0.83279,                0.89752,                0.71991,                0.77834,                0.58886,                0.94561,               0.004654,               0.004654,               0.004654
